V1	Group
8534	WT_specific
22062	WT_specific
0	WT_specific
409	WT_specific
10180	WT_specific
5533	WT_specific
19708	WT_specific
0	WT_specific
4730	WT_specific
15350	WT_specific
6995	WT_specific
5933	WT_specific
50484	WT_specific
62319	WT_specific
7404	WT_specific
17082	WT_specific
74684	WT_specific
49698	WT_specific
0	WT_specific
0	WT_specific
14878	WT_specific
20242	WT_specific
6104	WT_specific
7230	WT_specific
10543	WT_specific
122	WT_specific
7000	WT_specific
8374	WT_specific
36763	WT_specific
50468	WT_specific
59232	WT_specific
66921	WT_specific
86654	WT_specific
88443	WT_specific
82842	WT_specific
43597	WT_specific
38068	WT_specific
35781	WT_specific
14702	WT_specific
13924	WT_specific
14184	WT_specific
20373	WT_specific
28815	WT_specific
39514	WT_specific
52757	WT_specific
39558	WT_specific
37447	WT_specific
32569	WT_specific
13231	WT_specific
7862	WT_specific
4284	WT_specific
2679	WT_specific
417	WT_specific
4775	WT_specific
34143	WT_specific
40142	WT_specific
45479	WT_specific
64300	WT_specific
71735	WT_specific
16880	WT_specific
0	WT_specific
0	WT_specific
12276	WT_specific
28296	WT_specific
18060	WT_specific
5432	WT_specific
5811	WT_specific
65273	WT_specific
50821	WT_specific
6884	WT_specific
3669	WT_specific
15493	WT_specific
34721	WT_specific
10274	WT_specific
16455	WT_specific
27065	WT_specific
40829	WT_specific
68566	WT_specific
69698	WT_specific
83081	WT_specific
90783	WT_specific
97107	WT_specific
96224	WT_specific
94032	WT_specific
38513	WT_specific
3183	WT_specific
2099	WT_specific
2563	WT_specific
12743	WT_specific
6747	WT_specific
1004	WT_specific
10765	WT_specific
26175	WT_specific
23839	WT_specific
23433	WT_specific
3387	WT_specific
25529	WT_specific
17244	WT_specific
0	WT_specific
5587	WT_specific
27236	WT_specific
41245	WT_specific
17140	WT_specific
